2018-02-01 18:43:11,945 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:43:11,945 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：../resources/stoplists/cn.txt
2018-02-01 18:43:11,946 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:43:11,947 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：../resources/stoplists/en.txt
2018-02-01 18:43:55,690 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:43:55,690 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：../resources/stoplists/cn.txt
2018-02-01 18:43:55,691 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:43:55,691 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：../resources/stoplists/cn.txt
2018-02-01 18:43:55,692 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:43:55,692 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：../resources/stoplists/en.txt
2018-02-01 18:44:54,135 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/cn.txt
2018-02-01 18:44:54,135 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/en.txt
2018-02-01 18:44:54,136 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['resources/stoplists/cn.txt', 'resources/stoplists/en.txt']
2018-02-01 18:47:02,293 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/cn.txt
2018-02-01 18:47:02,293 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/en.txt
2018-02-01 18:47:02,293 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['resources/stoplists/cn.txt', 'resources/stoplists/en.txt']
2018-02-01 18:47:40,601 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:47:40,602 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 18:47:40,603 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:47:40,603 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 18:47:40,603 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:47:40,603 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/en.txt']
2018-02-01 18:48:07,927 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:48:07,927 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 18:48:07,929 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:48:07,929 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 18:48:07,930 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:48:07,930 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/en.txt']
2018-02-01 18:48:35,706 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/cn.txt
2018-02-01 18:48:35,707 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词失败：resources/stoplists/en.txt
2018-02-01 18:48:35,707 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['resources/stoplists/cn.txt', 'resources/stoplists/en.txt']
2018-02-01 18:51:00,041 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:51:00,041 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:51:00,041 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 18:53:25,587 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:53:25,587 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:53:25,587 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 18:54:30,014 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:54:30,015 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:54:30,015 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 18:54:51,418 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 18:54:51,419 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 18:54:51,419 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:03:10,415 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:03:10,416 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:03:10,416 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:04:06,479 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:04:06,479 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 19:04:06,480 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:04:06,480 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt']
2018-02-01 19:04:06,480 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:04:06,480 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/en.txt']
2018-02-01 19:04:28,325 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:04:28,326 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:04:28,326 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:06:03,023 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:06:03,024 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:06:03,024 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:07:14,231 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:07:14,232 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:07:14,232 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:07:49,347 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:07:49,347 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:07:49,347 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:08:40,070 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:08:40,070 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:08:40,070 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:09:16,026 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:09:16,027 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:09:16,027 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:09:24,302 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:09:24,302 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:09:24,302 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:10:18,172 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:10:18,173 | ChineseStopKeywords.py | ChineseStopKeywords | 33 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:10:18,173 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:13:17,828 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:13:17,828 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:13:17,828 | ChineseStopKeywords.py | ChineseStopKeywords | 37 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:13:30,691 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:13:30,692 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:13:30,692 | ChineseStopKeywords.py | ChineseStopKeywords | 37 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:13:48,710 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:13:48,710 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:13:48,710 | ChineseStopKeywords.py | ChineseStopKeywords | 37 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:14:03,342 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:14:03,342 | ChineseStopKeywords.py | ChineseStopKeywords | 34 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:14:03,342 | ChineseStopKeywords.py | ChineseStopKeywords | 37 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:15:51,872 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:15:51,873 | ChineseStopKeywords.py | ChineseStopKeywords | 35 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:15:51,873 | ChineseStopKeywords.py | ChineseStopKeywords | 38 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:16:42,026 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
2018-02-01 19:16:42,027 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/en.txt
2018-02-01 19:16:42,027 | ChineseStopKeywords.py | ChineseStopKeywords | 39 | INFO    : 加载用户停用词完成：['../resources/stoplists/cn.txt', '../resources/stoplists/en.txt']
2018-02-01 19:17:51,200 | SegmentFactory.py | SegmentFactory | 61 | INFO    : 加载用户词典结束：['resources/new_tag_words.dic', 'resources/new_wiki_words.dic']
2018-02-01 19:27:29,228 | ChineseStopKeywords.py | ChineseStopKeywords | 36 | INFO    : 加载用户停用词：../resources/stoplists/cn.txt
